Ind. max size:   4
Init. pop. size: 50
Max. pop. size:  200
Tournament size: 2
Max. num. gen.:  100
Crossover rate:  0.95
Mutation rate:   0.05
Min Fitness:  	 Mean Fitness: 	 Max Fitness:  
0   0.191892    22.7924    790.957
1   0.124297    49.7988    2073.86
2   0.106165    32.9416    1127.57
3   0.103197    29.1668    1070.18
4   0.100616    38.8206    1630.55
5  0.0983861    67.4443    3267.56
6  0.0983518    2185.52     123437
7  0.0931659    2381.21     136659
8  0.0923931    2186.04     128278
9  0.0923931    2152.68     128061
10  0.0923646    2169.49     131450
11  0.0923589    2092.75     129015
12  0.0922295     2044.9     127865
13  0.0875889    200.843    11903.9
14  0.0875236     229.18    12010.9
15  0.0874953    4895.31     318727
16    0.08749    4833.83     319654
17  0.0866706    4812.92     324200
18  0.0857999    4643.66     319952
19  0.0857999    4535.77     316847
20  0.0857999    4478.98     317010
21  0.0857999    4402.85     316447
22  0.0853873    4342.61     316369
23  0.0853873    4601.05     339820
24  0.0853873    4556.12     340844
25  0.0853873    410.689    30431.7
26  0.0853873    1135.88    85392.1
27  0.0853873    891.004    68746.8
28  0.0853873    676.705    52572.7
29  0.0853873    682.957    53827.2
30  0.0853873    666.785    53260.4
31  0.0853873    3840.49     313947
32  0.0853873     3824.7     315528
33  0.0841094    3809.59     318374
34  0.0841094     3123.4     263970
35  0.0824956    3079.77     264107
36  0.0824956    3038.33     263513
37  0.0791859    7107.39     620928
38  0.0787575     4203.6     373289
39  0.0787575    2087.86     187402
40  0.0787575     2096.4     190102
41  0.0787541    3957.04     362868
42  0.0787541    3920.68     363061
43  0.0787541    79.6541    6138.16
44  0.0787304    167.008    13309.6
45  0.0787304    105.891       8398
46  0.0787304    108.382    8928.84
47  0.0776575    247.472    22387.6
48  0.0772365     239.02    21819.6
49  0.0772365    390.165    37111.9
50  0.0772183    536.365    52211.3
51  0.0772183    49786.9 5.07611e+06
52  0.0772183    49472.4 5.07704e+06
53  0.0772183     331407 3.44449e+07
54  0.0758193     329209 3.45657e+07
55  0.0758193     326066 3.45605e+07
56  0.0758193    1300.56     136557
57  0.0756738    822.442    85895.4
58  0.0756738    714.565      76428
59  0.0756738    536.326    57509.9
60  0.0750793    558.416    59591.3
61  0.0750793    589.025    63001.9
62  0.0741859    1280.42     106623
63  0.0741859    6050.99     635736
64  0.0741855    23564.4 2.1026e+06
65  0.0741855    18585.3 2.10459e+06
66  0.0741855    18055.1 2.10456e+06
67  0.0741855    17887.8 2.10456e+06
68  0.0741855    22521.8 2.66924e+06
69  0.0741855 1.28823e+06 1.54586e+08
70  0.0741855 1.39724e+07 1.69066e+09
71  0.0737589    383.129    44944.8
72  0.0737589    419.236    49234.8
73  0.0737589    468.416    56934.4
74  0.0735025    417.911      49440
75  0.0735025     620.61    76215.9
76  0.0726626    680.058      81393
77  0.0726626    44811.4 5.73441e+06
78  0.0701367    1968.63     252522
79  0.0701367    8453.02 1.0953e+06
80  0.0701367    2285.32     297561
81  0.0701367    2281.93     299811
82  0.0701367    2320.75     304029
83  0.0698122    2234.37     294882
84  0.0698122    16811.8 1.22028e+06
85  0.0698122    19006.2 1.36484e+06
86  0.0698122     199796 2.73689e+07
87  0.0698122     295143 4.07216e+07
88  0.0697076     293007 4.07238e+07
89  0.0695894     271942 3.80622e+07
90  0.0693723     270029 3.80617e+07
91  0.0693723 3.84319e+06 5.45728e+08
92  0.0681738 3.81649e+06 5.45749e+08
93  0.0681738 3.79026e+06 5.45776e+08
94  0.0681738    2302.69     308854
95  0.0679624    2079.79     283143
96  0.0679624    1406.33     169696
97  0.0676851    554.558    47498.9
98  0.0676851    599.888    53830.3
99  0.0676851    881.037    93397.7
