./tp1 datasets/keijzer-7-train.csv datasets/keijzer-7-test.csv
Ind. max size:   7
Init. pop. size: 50
Max. pop. size:  200
Tournament size: 2
Max. num. gen.:  300
Crossover rate:  0.6
Mutation rate:   0.4
Min Fitness:  	 Mean Fitness: 	 Max Fitness:  
0    1.12772     116816 5.8641e+06
1    1.00961 1.67306e+06 8.68124e+07
2   0.959324 1.84572e+06 9.7385e+07
3    0.93549 1.61251e+08 8.70206e+09
4   0.929307 1.58315e+08 8.70218e+09
5     0.9224 1.55262e+08 8.68335e+09
6   0.916094 5.54795e+06 2.8687e+08
7   0.910993 1.71953e+07 9.7806e+08
8   0.904889 1.56617e+07 8.98511e+08
9    0.90465 1.57384e+09 9.43476e+10
10   0.899935 1.55758e+09 9.50096e+10
11   0.894662 1.53272e+09 9.50269e+10
12   0.890048 3.22181e+08 2.02941e+10
13   0.886347 5.29909e+08 3.39106e+10
14   0.884351 3.81808e+08 2.47459e+10
15   0.884093 1.12525e+09 7.41465e+10
16   0.880961 1.03401e+09 6.90135e+10
17   0.870378 8.24054e+08 5.60285e+10
18   0.832352 1.24162e+09 8.56694e+10
19   0.827101 1.21912e+09 8.53345e+10
20   0.826589 5.60157e+08 3.97692e+10
21   0.813012 2.10655e+08 1.51643e+10
22   0.806143 2.10488e+08 1.53502e+10
23   0.786148 2.10499e+08 1.55358e+10
24   0.784017 2.73836e+08 2.05218e+10
25   0.784013 2.29447e+09 1.74364e+11
26   0.784013 5.10365e+10 3.92974e+12
27   0.783943 5.08696e+10 3.96766e+12
28   0.766092 6.10506e+10 4.82285e+12
29   0.765959 5.81508e+10 4.6516e+12
30   0.753427 5.74304e+10 4.65138e+12
31    0.74394 1.36536e+12 1.11959e+14
32   0.734979 1.34904e+12 1.11969e+14
33   0.729303 1.41155e+12 1.1857e+14
34   0.727544 1.39572e+12 1.1857e+14
35   0.725148 1.37883e+12 1.18579e+14
36   0.723641 1.3931e+12 1.21198e+14
37   0.721901 8.65672e+11 7.61789e+13
38   0.721724 2.55935e+14 2.27782e+16
39   0.721333 3.86292e+11 3.47661e+13
40   0.720466 1.23716e+11 1.12581e+13
41   0.720466 1.20766e+11 1.11103e+13
42   0.716665 1.03265e+11 9.60343e+12
43   0.715185 1.0216e+11 9.60271e+12
44   0.711363 6.9016e+10 6.5562e+12
45   0.707212 6.83536e+10 6.56161e+12
46    0.70721 6.56117e+10 6.34141e+12
47   0.690539 4.00335e+10 3.90032e+12
48   0.686493 3.86772e+12 3.82897e+14
49    0.68175 3.83514e+12  3.829e+14
50   0.675758 3.76088e+12 3.79849e+14
51   0.675586 3.72402e+12 3.7985e+14
52   0.672692 3.68787e+12 3.7985e+14
53   0.667021 3.65992e+12 3.80632e+14
54   0.663635 3.62037e+12 3.80138e+14
55   0.663482 3.58592e+12 3.80106e+14
56   0.663482 3.63692e+12 3.89142e+14
57   0.657561 3.96005e+12 4.27684e+14
58   0.657561 3.97586e+12 4.33368e+14
59   0.645913 2.34258e+12 2.57684e+14
60   0.639146 2.32274e+12 2.57825e+14
61   0.629666  4.015e+14 4.4968e+16
62   0.628237 3.97947e+14 4.4968e+16
63   0.628237 3.94405e+14 4.49622e+16
64   0.613988 5.30983e+15 6.1063e+17
65   0.611802 5.26231e+15 6.10428e+17
66   0.601085 5.21699e+15 6.10388e+17
67   0.595875 5.17278e+15 6.10388e+17
68   0.595344 5.12944e+15 6.10404e+17
69   0.595344 1.32133e+14 1.5856e+16
70   0.587227 1.31053e+14 1.58574e+16
71   0.587227 1.64702e+15 2.00936e+17
72   0.585776 1.63364e+15 2.00938e+17
73   0.581364 1.5736e+15 1.95126e+17
74   0.559253 1.56368e+15 1.9546e+17
75   0.558307 1.66438e+15 2.09712e+17
76   0.558208 1.53935e+15 1.95498e+17
77   0.558039 1.52733e+15 1.95498e+17
78   0.557687 1.7195e+15 2.21815e+17
79   0.556044 1.70607e+15 2.21788e+17
80   0.551753 1.69308e+15 2.21794e+17
81   0.545132 1.68032e+15 2.21803e+17
82    0.54503 1.66774e+15 2.21809e+17
83    0.54503 4.66452e+16 6.25045e+18
84   0.544436 4.46585e+16 6.02889e+18
85   0.543414 4.43312e+16 6.02904e+18
86    0.54252 4.40077e+16 6.02906e+18
87   0.536674 3.40925e+13 3.52052e+15
88   0.536674 3.36754e+13 3.49717e+15
89   0.534529 2.50994e+13 3.5139e+15
90    0.53447 2.35791e+13 3.32463e+15
91   0.533813 2.35783e+13 3.34799e+15
92   0.533561 1.53334e+15 2.19267e+17
93   0.533478 1.49991e+15 2.15986e+17
94   0.530788 1.48956e+15 2.15985e+17
95   0.530443 1.53795e+15 2.2454e+17
96     0.5294 1.70619e+15 2.5081e+17
97   0.522602 9.78218e+15 1.44776e+18
98   0.515149 9.71637e+15 1.44774e+18
99   0.512028 5.72708e+17 8.59062e+19
100   0.511429  2.617e+17 3.95168e+19
101   0.511259 2.5998e+17 3.9517e+19
102   0.496356 2.58199e+17 3.95044e+19
103   0.492618 9.76629e+16 1.50401e+19
104   0.490817 3.57779e+18 5.54557e+20
105   0.490817 3.5567e+18 5.54845e+20
106   0.484867 3.53219e+18 5.54554e+20
107   0.484867 3.50983e+18 5.54554e+20
108   0.484867 3.48817e+18 5.54619e+20
109   0.484867 3.46637e+18 5.54619e+20
110   0.484867 3.44472e+18 5.54601e+20
111   0.470794 3.33549e+18 5.40349e+20
112   0.470283 3.31114e+18 5.39716e+20
113   0.461952 3.29095e+18 5.39716e+20
114   0.461952 3.27088e+18 5.39695e+20
115   0.460541 3.25116e+18 5.39693e+20
116   0.453343 3.22765e+18 5.39017e+20
117   0.451854 3.20843e+18 5.39017e+20
118    0.45181 3.18945e+18 5.39017e+20
119    0.45021 3.17037e+18 5.38963e+20
120    0.45021 6.35209e+17 1.08621e+20
121   0.446899 6.31516e+17 1.08621e+20
122   0.439183 6.27866e+17 1.08621e+20
123   0.436278 6.24261e+17 1.08621e+20
124   0.436278 6.20691e+17 1.08621e+20
125   0.436145 6.21298e+17 1.09348e+20
126   0.429338 6.17113e+17 1.09229e+20
127   0.428471 6.14597e+17 1.09398e+20
128   0.426669 6.11163e+17 1.09398e+20
129   0.426643 4.79471e+16 8.63047e+18
130   0.423114 2.66754e+16 4.82824e+18
131   0.423112 3.45819e+16 6.29391e+18
132   0.422553 2.83468e+16 5.18747e+18
133   0.420857 2.81908e+16 5.18712e+18
134   0.409097 2.80394e+16 5.1873e+18
135   0.406293 2.78876e+16 5.18709e+18
136   0.406275 2.77384e+16 5.18709e+18
137   0.406109 2.75913e+16 5.18717e+18
138   0.405142 2.74494e+16 5.18793e+18
139   0.404741 2.7304e+16 5.18776e+18
140   0.391255 2.7161e+16 5.18776e+18
141   0.390656 2.51623e+16 4.83116e+18
142   0.390485 2.50312e+16 4.83101e+18
143   0.390363 2.48989e+16 4.83039e+18
144   0.390363 1.57157e+13 3.06455e+15
145   0.390363 1.53845e+13 3.01533e+15
146   0.390363 1.57864e+13 3.10991e+15
147   0.390363 3.05374e+12 6.04638e+14
148   0.387333 2.63743e+12 5.24845e+14
149   0.383043 1.04494e+07 1.78173e+09
150   0.382888     777195 1.39065e+08
151   0.381711    83463.7 1.20211e+07
152   0.379286    41556.6 6.2685e+06
153   0.379059    15447.3 2.00874e+06
154   0.379059     105742 2.01493e+07
155   0.379058      44771 8.29151e+06
156   0.375035    21394.1 3.70167e+06
157   0.375035    27292.5 4.82251e+06
158   0.373886    14137.2 2.13493e+06
159    0.37338     9146.2 1.18046e+06
160    0.37338    34865.8 6.21448e+06
161   0.366882    9248.69 1.1898e+06
162   0.366738    9971.85 1.40899e+06
163   0.365696    39277.7 7.09615e+06
164    0.36507    7887.98     804982
165   0.364942    17546.7 3.05428e+06
166   0.364834    4266.14     450979
167   0.363916    12947.3 2.1489e+06
168   0.363174    8851.09 1.2234e+06
169   0.362985    7427.86 1.05131e+06
170   0.362985    9331.27 1.48938e+06
171   0.362985    2832.53     278047
172   0.362985    3741.43     455177
173   0.362985    10670.4 1.84286e+06
174   0.362975    5393.25     637165
175   0.362942    4420.91     531717
176   0.362533    4759.65     574978
177   0.362473    3558.21     342853
178   0.358692    3471.53     459384
179    0.35854    2791.96     223788
180    0.35854    10985.2 1.65469e+06
181    0.35854     5381.8     706937
182   0.358258    5970.36     762795
183   0.358258    7396.68 1.18437e+06
184   0.358215 2.03265e+06 4.04097e+08
185   0.357676    4023.85     507756
186   0.355988    3717.33     364637
187   0.355988    2507.86     229682
188   0.355246     3441.5     410222
189   0.355226    2108.15     203022
190   0.354956    3863.75     523198
191   0.354809    1996.23     174074
192   0.354151    2403.38     229340
193   0.354151    20940.8 3.89758e+06
194   0.353443    2069.33     232384
195   0.353443    1763.78     184534
196   0.351967    1465.63     134870
197   0.351967    2864.49     387499
198   0.351389    2369.02     292674
199   0.351241    3615.36     442547
200   0.351239    4074.07     614657
201   0.351239    1818.27     194792
202   0.351239    1653.64     160596
203   0.351175    1220.68     113919
204   0.349791    1468.02     176735
205   0.349628    1541.59     122067
206   0.349628    1327.39     114467
207   0.344867    2107.27     246606
208   0.344867    2332.58     314244
209   0.344836    2572.36     275951
210   0.344484    1893.16     191501
211   0.344427    2931.62     275779
212   0.338356    1940.28     215300
213   0.337091    1454.63     119415
214    0.33709    1771.52     204268
215   0.336946    2413.81     321025
216   0.335788    1146.59    95714.7
217   0.335615    54715.6 1.07244e+07
218    0.33561    25852.8 4.78644e+06
219   0.335607    3319.87     396372
220    0.33193    2899.51     311036
221   0.331838    1950.36     177544
222   0.325912    9286.81 1.64803e+06
223   0.325627    2297.93     203128
224   0.322351    2120.65     198983
225   0.322351    2396.16     216572
226   0.322332    1964.11     173774
227   0.322221    5833.54     932152
228   0.322056    1501.32     136439
229   0.322051    1286.88     119141
230   0.322028    1479.93     158609
231   0.321064    1633.69     176312
232   0.321064    1433.94     138753
233   0.318823    2547.32     283390
234    0.31749    5123.92     569860
235   0.317354    4007.65     509280
236    0.31676    3624.58     479081
237   0.316743    2250.72     244639
238   0.316226    2342.04     240215
239    0.31579     4047.4     576434
240   0.315341    5221.54     630576
241    0.31534    6507.21 1.04305e+06
242   0.312717    4530.97     672885
243   0.312547    2623.53     304861
244    0.31167    5451.53     775806
245   0.307642    4024.07     540061
246   0.307595    3759.15     454547
247   0.307595    2215.27     236960
248   0.307595    3379.99     412548
249   0.307278    1881.22     224144
250   0.306722    2508.05     351989
251   0.306722    2797.88     345957
252   0.306713    1995.93     213891
253   0.306446    6602.72     848777
254   0.306353    5604.81     691920
255     0.3061    6831.32     938549
256   0.305981    2712.99     410149
257   0.305545    3141.73     361515
258   0.305303    2632.63     351503
259   0.305157    4618.19     655485
260   0.305157    2011.39     239162
261   0.305157    1493.91     150395
262   0.304873    1087.74     116273
263   0.304838    1817.19     213513
264   0.304838    2735.27     413549
265   0.304778    2141.13     283154
266   0.304576    1467.77     159451
267   0.304535    1044.23    75582.1
268   0.304535    1842.69     222827
269   0.304309    1628.84     152048
270   0.304309    1264.48     135647
271   0.304309    1463.59     171783
272   0.304294    1774.88     226481
273    0.30403    3104.05     461860
274   0.303852    2901.26     443288
275   0.303804     2857.1     463799
276   0.303804    1586.54     167172
277    0.30228    1614.43     144596
278   0.302176    1390.79     142673
279   0.299513    1328.59     146872
280    0.29948    837.706    72499.9
281   0.298945    1735.57     205986
282   0.297735    2562.87     245778
283   0.297735    1940.78     217951
284   0.297735    2796.35     419870
285   0.297158    1563.51     165754
286   0.296908    1387.25     140684
287   0.296782    4727.27     692888
288   0.296752    1832.35     207826
289   0.296752    1464.05     120838
290   0.296746    1901.65     233560
291   0.296746    3350.42     540882
292   0.296746    1741.11     227056
293   0.296742     302919 5.74456e+07
294   0.296742    3000.74     385854
295   0.296742    2018.89     259075
296   0.294105     1848.2     250778
297   0.294083    719.511      67639
298   0.289549    2677.66     377930
299   0.289197    1095.23     103149
