Ind. max size:   7
Init. pop. size: 50
Max. pop. size:  100
Tournament size: 2
Max. num. gen.:  250
Crossover rate:  0.95
Mutation rate:   0.05
Min Fitness:  	 Mean Fitness: 	 Max Fitness:  
0    1.23926    29603.2 1.43278e+06
1    1.07244     453626 2.34516e+07
2   0.962813 1.6914e+06 8.9511e+07
3   0.936672     646027 3.3468e+07
4   0.923767     565302 3.08001e+07
5   0.912088     823727 4.58064e+07
6   0.907481 4.71503e+07 2.68731e+09
7    0.90621 4.63616e+07 2.68858e+09
8   0.902904 5.66491e+07 3.34157e+09
9    0.89976 6.16795e+09 3.70074e+11
10   0.899759 7.44533e+09 3.7028e+11
11   0.898261 6.59502e+09 3.70491e+11
12   0.876277 1.31079e+10 8.25795e+11
13   0.870335 1.49459e+11 9.56536e+12
14   0.861329 1.58164e+11 1.02807e+13
15   0.857467 1.55727e+11 1.0278e+13
16   0.853064 3.27893e+17 2.19688e+19
17   0.840127 2.98022e+17 2.02655e+19
18   0.835301 3.40247e+14 2.34771e+16
19   0.826512 3.35386e+14 2.34771e+16
20   0.826315 3.30663e+14 2.34771e+16
21   0.820886 3.2607e+14 2.34771e+16
22   0.794967 3.21604e+14 2.34771e+16
23   0.791717 3.17261e+14 2.34773e+16
24   0.785553 4.24091e+12 3.18068e+14
25   0.767961 5.5819e+13 4.24224e+15
26   0.766443 5.48346e+13 4.22225e+15
27   0.765836 5.1142e+13 3.98906e+15
28   0.758366 5.04906e+13 3.98876e+15
29   0.755735 4.98615e+13 3.98892e+15
30   0.745498  1.394e+12 1.12329e+14
31   0.735665 4.55947e+12 3.73718e+14
32   0.735518 3.52553e+15 2.92619e+17
33   0.727171 3.48356e+15 2.92619e+17
34   0.719616 3.44221e+15 2.92588e+17
35   0.711241 7.09698e+14 6.1034e+16
36   0.708835 7.52053e+14 6.54286e+16
37   0.702098 7.9751e+17 7.01809e+19
38   0.698427 7.8855e+17 7.01809e+19
39   0.697609 7.0643e+14 6.35738e+16
40   0.686525 7.2015e+14 6.55287e+16
41   0.685913 4.00823e+17 3.68757e+19
42   0.678043 3.51505e+19 3.26899e+21
43    0.67543 3.47765e+19 3.26899e+21
44   0.673028 6.78641e+14 6.44659e+16
45   0.671983 6.6374e+14 6.37174e+16
46   0.667851 6.58424e+14 6.38666e+16
47   0.659855 6.51702e+14 6.38668e+16
48   0.659132 9.36894e+13 9.27519e+15
49   0.653107 7.85149e+08 7.72372e+10
50   0.651824    9156.25     809391
51   0.646204    2632.95     214005
52    0.64549    979.466    61424.2
53   0.628309    548.001    38745.1
54   0.628284    1456.85     120466
55   0.628017    429.847    24057.6
56   0.627726    738.284    49339.9
57   0.611347    304.429    16859.8
58   0.607998    439.558    22400.7
59   0.595972    153.615    6135.26
60   0.595793    182.995    7726.96
61   0.587102    194.715     9013.5
62   0.587102    189.586    8664.95
63   0.587102    446.478      25210
64   0.578213    1222.38    59774.8
65   0.578213    768.204    66029.5
66   0.577546     227.41    15561.7
67   0.577546    113.109    4430.66
68   0.566188    107.695     4320.4
69   0.561585    107.391    5746.19
70   0.561185    127.925     6934.8
