Ind. max size:   7
Init. pop. size: 50
Max. pop. size:  100
Tournament size: 2
Max. num. gen.:  350
Crossover rate:  0.95
Mutation rate:   0.05
Min Fitness:  	 Mean Fitness: 	 Max Fitness:  
0    1.22336 2.18006e+06 1.09984e+08
1    1.04474    98574.8 4.77609e+06
2   0.994473 2.0024e+06 1.05315e+08
3   0.953925 5.90982e+06 3.18321e+08
4   0.948698 5.82828e+06 2.99543e+08
5   0.917768 2.20236e+07 1.10944e+09
6   0.908126 2.00241e+07 1.1303e+09
7   0.902794 1.9757e+07 1.13146e+09
8   0.898122 6.16074e+12 3.63484e+14
9   0.885822 6.05807e+12 3.63484e+14
10   0.875369 5.95879e+12 3.63484e+14
11   0.870677 5.86302e+12 3.63506e+14
12   0.869144 5.76993e+12 3.63506e+14
13   0.862768 2.82117e+14 1.80555e+16
14   0.859528 2.77776e+14 1.80555e+16
15   0.859284 1.0078e+13 6.65149e+14
16   0.858805 9.92751e+12 6.65143e+14
17   0.839976 4.2116e+08 2.86289e+10
18   0.837554 3.94891e+08 2.72462e+10
19   0.818812 3.71747e+08 2.60069e+10
20   0.806003 3.65919e+08 2.59742e+10
21   0.791778 9.68296e+08 6.97146e+10
22   0.789782 2.27743e+09 1.66247e+11
23   0.789656 2.27563e+09 1.68374e+11
24   0.777282 1.90814e+09 1.43087e+11
25   0.773999 1.88603e+09 1.43279e+11
26   0.755813 1.84249e+09 1.41868e+11
27   0.748307 1.83151e+09 1.4282e+11
28   0.742609 1.93096e+09 1.52538e+11
29   0.742581 7.51778e+12 6.01422e+14
30   0.738591 7.92798e+12 6.42166e+14
31   0.738279 7.83128e+12 6.42165e+14
32   0.732798 5.02927e+12 4.17429e+14
33   0.729818 1.34518e+16 1.12995e+18
34   0.723016 1.31995e+16 1.12195e+18
35    0.71894 1.30469e+16 1.12203e+18
36   0.717347 1.50672e+16 1.31085e+18
37   0.688801 2.10168e+16 1.84948e+18
38   0.681248 5.86747e+18 5.22205e+20
39   0.675325 5.80228e+18 5.22205e+20
40   0.669282 5.73852e+18 5.22205e+20
41   0.665501 5.67614e+18 5.22205e+20
42   0.665501 2.52585e+16 2.34904e+18
43   0.662291 2.49909e+16 2.34915e+18
44   0.640387 5.73312e+15 5.44646e+17
45   0.638815 2.74731e+12 2.63742e+14
46    0.63209 2.7057e+12 2.62453e+14
47   0.631689 1.6018e+14 1.56977e+16
48   0.630735 9.19523e+17 9.10328e+19
49   0.624886 5.25149e+06 3.5064e+08
50    0.62456    47828.3 4.47603e+06
51   0.620856    2919.36     250429
52   0.614392    2240.48     153530
53    0.59158    1717.36     111756
54   0.574417    405.681    28632.1
55   0.563049    250.942    12891.2
56   0.562461    1647.52     151819
57   0.561325    246.443      14311
58   0.560829     166.08    6675.96
59   0.560802     143.09    5414.35
60   0.560494    116.228    3871.07
61   0.559333    128.838     6018.6
62   0.558855     95.905    3407.64
63   0.555179      219.4    12380.7
64   0.553619     174.38    10282.1
65   0.550751    129.955    4518.54
66   0.550672     110.64    3930.65
67   0.550423    168.872    9129.57
68   0.549723    112.303    4543.78
69   0.549723    87.7143    3798.15
