Ind. max size:   7
Init. pop. size: 50
Max. pop. size:  250
Tournament size: 2
Max. num. gen.:  300
Crossover rate:  0.95
Mutation rate:   0.05
Min Fitness:  	 Mean Fitness: 	 Max Fitness:  
0    1.29247    61784.9 2.84049e+06
1    1.05239     880733 4.41537e+07
2    0.97874 2.37807e+06 1.25209e+08
3   0.949134 4.55206e+06 2.45182e+08
4   0.940144 4.62368e+06 2.48685e+08
5   0.932662 5.88703e+06 3.20543e+08
6    0.91543 6.58989e+06 3.74919e+08
7   0.913046 3.68875e+07 2.13712e+09
8   0.910012 4.41463e+07 2.60113e+09
9   0.908296 1.51672e+10 9.10031e+11
10   0.906148 5.43854e+08 3.31734e+10
11   0.899089 1.90252e+07 1.17857e+09
12   0.898412 1.23214e+07 7.43174e+08
13   0.897117 1.63347e+10 1.04539e+12
14   0.889352 1.55952e+10 1.01369e+12
15   0.848092 1.5367e+10 1.01422e+12
16   0.848092 4.8922e+10 3.27774e+12
17   0.847944 4.36999e+10 2.97149e+12
18   0.839434 3.83351e+10 2.64501e+12
19   0.838792 3.77892e+10 2.64513e+12
20   0.825897 5.81766e+09 4.13044e+11
21   0.818184 4.18708e+08 3.01294e+10
22   0.808921 4.84867e+08 3.53104e+10
23   0.804262 2.83784e+08 2.09696e+10
24   0.792504 1.86633e+08 1.39646e+10
25   0.792209 8.16534e+09 6.20544e+11
26   0.779417 6.29348e+14 4.84598e+16
27   0.775584 5.02257e+16 3.9176e+18
28   0.764596 4.63814e+15 3.66413e+17
29   0.760282 4.58019e+15 3.66416e+17
30   0.760134 5.08277e+15 4.11705e+17
31   0.756919 2.85929e+16 2.34462e+18
32   0.750101 2.82484e+16 2.34462e+18
33   0.746411 4.47835e+16 3.76181e+18
34   0.739657 4.42566e+16 3.76181e+18
35   0.719637 4.37476e+16 3.76229e+18
36   0.716981 4.30896e+16 3.7488e+18
37   0.713904 2.92943e+17 2.5779e+19
38   0.713572  3.917e+18 3.48613e+20
39   0.664326 3.87348e+18 3.48613e+20
40   0.653928 3.83091e+18 3.48613e+20
41   0.653265 3.78927e+18 3.48613e+20
42   0.641436 3.74852e+18 3.48613e+20
43   0.637061 1.14883e+19 1.0799e+21
44    0.62796 1.07569e+19 1.02191e+21
45   0.627181 1.06449e+19 1.02191e+21
46   0.626458 1.05352e+19 1.02191e+21
47   0.618382 1.04536e+19 1.02446e+21
48   0.617889 1.0348e+19 1.02445e+21
49    0.60867 1.02317e+19 1.02317e+21
50   0.588746 1.30807e+16 1.32115e+18
51   0.587049 1.31458e+16 1.34087e+18
52   0.586618 1.33069e+16 1.37061e+18
53    0.58646 7.01908e+15 7.29984e+17
54   0.581267 8.43658e+14 8.85841e+16
55   0.575112 8.35705e+14 8.85846e+16
56   0.564404 3.33055e+15 3.56368e+17
57   0.564023 3.45541e+15 3.73184e+17
58   0.563628 2.61833e+15 2.85398e+17
59   0.563628 2.33516e+15 2.56868e+17
60    0.56139 6.08274e+18 6.75185e+20
61   0.560524 6.02843e+18 6.75185e+20
62   0.552873 1.47614e+18 1.66804e+20
63   0.535741 3.12019e+17 3.55702e+19
64   0.534292 3.09307e+17 3.55703e+19
65   0.533187 3.97487e+17 4.61085e+19
66   0.532492 3.94092e+17 4.61088e+19
67   0.529538 4.03848e+17 4.76541e+19
68   0.525684 1.74162e+19 2.07253e+21
69   0.515584 1.08321e+19 1.29986e+21
70   0.508764 1.2932e+18 1.56477e+20
71   0.508708 1.2826e+18 1.56477e+20
72   0.508634 1.2811e+18 1.57576e+20
73   0.508634 7.50211e+17 9.30262e+19
74   0.508416 1.00245e+18 1.25306e+20
75   0.507608 7.55422e+17 9.51832e+19
76   0.505421 7.46013e+17 9.47437e+19
77    0.50465 5.46051e+16 6.98945e+18
78   0.504374 2.62969e+16 3.3923e+18
79   0.502995 1.00001e+17 1.30001e+19
