Ind. max size:   4
Init. pop. size: 30
Max. pop. size:  100
Tournament size: 2
Max. num. gen.:  300
Crossover rate:  0.9
Mutation rate:   0.3
Min Fitness:  	 Mean Fitness: 	 Max Fitness:  
0    1.42411    405.235    9519.35
1    1.06944    1850.44    53190.9
2    1.00797    28907.7     947825
3   0.963397      37970 1.27341e+06
4   0.954174    32901.9 1.14392e+06
5   0.932001     115183 4.13789e+06
6   0.929797    18717.1     683510
7   0.921147    20801.8     771217
8   0.917059    9203.04     345115
9   0.916596    17346.5     675278
10   0.916552    29735.7 1.14428e+06
11   0.913055 5.27042e+07 2.21356e+09
12   0.903025 1.31304e+08 5.64604e+09
13    0.90297 1.28326e+08 5.64634e+09
14   0.891718 1.25567e+08 5.65048e+09
15   0.881965     156287 7.17258e+06
16   0.867274     141773 6.62523e+06
17   0.859208 2.08411e+06 1.00015e+08
18   0.859208 2.09211e+06 1.0247e+08
19     0.8564     481056 2.4029e+07
20     0.8564     272735 1.38676e+07
21   0.855559     301720 1.5599e+07
22   0.850706 1.8143e+06 9.44752e+07
23   0.850703 7.91657e+06 4.27277e+08
24   0.847245 7.77816e+06 4.26922e+08
25   0.844016 5.56989e+08 3.11913e+10
26   0.837365 5.45971e+08 3.11203e+10
27   0.837365 1.64681e+07 9.55042e+08
28   0.836376 1.79026e+07 1.05615e+09
29   0.835071 1.78055e+07 1.06829e+09
30   0.835071 7.74836e+07 4.72643e+09
31   0.835071 5.60467e+08 3.47489e+10
32   0.835047 2.05025e+08 1.29164e+10
33   0.832565 2.9476e+06 1.88585e+08
34   0.832451 1.3557e+10 8.81204e+11
35   0.831868 1.33516e+10 8.81207e+11
36   0.825336 1.31523e+10 8.81204e+11
37   0.825159 1.29881e+10 8.83189e+11
38   0.812698 3.19245e+07 2.20218e+09
39   0.809415 3.4684e+07 2.42074e+09
40   0.809415 7.19607e+07 5.1087e+09
41   0.809415 2.56299e+07 1.84503e+09
42   0.809409 2.53136e+07 1.84776e+09
43   0.808565 2.50089e+07 1.85022e+09
44   0.806027 1.38303e+08 1.03723e+10
45   0.806027 3.33999e+09 2.53839e+11
46   0.804618 2.08406e+10 1.60472e+12
47   0.797291 1.13394e+11 8.84472e+12
48   0.792324 1.00794e+11 7.96275e+12
49   0.781977 9.95452e+10 7.96362e+12
50   0.781966 9.8428e+10 7.97267e+12
51   0.781966 1.02025e+11 8.36604e+12
52   0.781956 9.28708e+10 7.70828e+12
53    0.78126 8.98604e+08 7.54825e+10
54   0.779816 8.87952e+08 7.54757e+10
55   0.756517 8.73396e+08 7.51104e+10
56    0.75069 7.14552e+10 6.2166e+12
57   0.710737 7.06436e+10 6.21663e+12
58   0.710737 6.97532e+10 6.20803e+12
59   0.710265 6.89944e+10 6.20887e+12
60   0.707046 6.82678e+10 6.20918e+12
61   0.696794 7.26658e+10 6.21135e+12
62   0.685487 6.67839e+10 6.20941e+12
63   0.685487 1.01466e+08 7.94373e+09
64   0.685344 7.93915e+07 7.54198e+09
65   0.681092 7.33431e+07 7.0405e+09
66   0.681065  9.777e+08 9.48366e+10
67   0.674131 9.6772e+08 9.48363e+10
68   0.674128 6.71959e+07 6.65229e+09
69   0.673419    1724.38     130913
70   0.673362    362.634    22673.2
71   0.668141    245.811    12675.9
72   0.667956    141.271    6024.34
73   0.667956     120.92     4216.4
74   0.667799    116.805    4375.13
75   0.648859    109.831    4458.24
76    0.64617    205.843    15135.9
77   0.646169    90.0956    3863.26
78   0.642318    90.8517    4900.12
79   0.642318     94.976     4266.3
