Ind. max size:   7
Init. pop. size: 50
Max. pop. size:  350
Tournament size: 2
Max. num. gen.:  300
Crossover rate:  0.95
Mutation rate:   0.05
Min Fitness:  	 Mean Fitness: 	 Max Fitness:  
0    1.28032 2.79127e+06 1.42253e+08
1    1.04148     503545 2.57557e+07
2   0.986617 2.60512e+06 1.37157e+08
3   0.976495     546218 2.8703e+07
4   0.962501 8.45778e+06 4.64845e+08
5   0.943062 9.25826e+06 5.17829e+08
6   0.924807 1.80151e+09 1.02685e+11
7    0.91045 1.96931e+11 1.1422e+13
8   0.910154 1.94975e+11 1.15035e+13
9   0.906333 1.91725e+11 1.15035e+13
10   0.885517 1.88582e+11 1.15035e+13
11   0.884213 1.77464e+11 1.10028e+13
12   0.884169 1.74741e+11 1.10087e+13
13   0.879095 1.07828e+11 6.90056e+12
14   0.878731 4.29511e+13 2.79182e+15
15   0.878369 4.23323e+13 2.79393e+15
16   0.849705 4.17005e+13 2.79393e+15
17   0.846012 4.10902e+13 2.79413e+15
18   0.834951 4.04952e+13 2.79417e+15
19   0.824988 3.99155e+13 2.79408e+15
20   0.818126 3.94282e+13 2.7994e+15
21   0.816814 3.88908e+13 2.80014e+15
22   0.816659 3.82781e+13 2.7943e+15
23   0.816659 3.52436e+11 2.60803e+13
24   0.816485 1.85194e+11 1.38895e+13
25   0.806244 1.95491e+11 1.48573e+13
26   0.791557 9.00107e+11 6.93082e+13
27   0.789182 8.88386e+11 6.92941e+13
28   0.774446 3.21702e+14 2.54144e+16
29   0.765129 3.17669e+14 2.54135e+16
30   0.755194 3.13748e+14 2.54136e+16
31   0.755078 3.09921e+14 2.54136e+16
32   0.750382 1.55021e+14 1.28667e+16
33   0.749073 1.53175e+14 1.28667e+16
34   0.748185 1.51373e+14 1.28667e+16
35   0.745516 1.20534e+15 1.03659e+17
36   0.745507 1.19145e+15 1.03657e+17
37   0.737077 1.36928e+15 1.20497e+17
38   0.729708 5.37833e+14 4.78671e+16
39    0.71857 5.31857e+14 4.78671e+16
40   0.718515 5.26012e+14 4.78671e+16
41   0.716729 1.80795e+15 1.66332e+17
42   0.715672 1.53367e+19 1.42631e+21
43   0.715672 1.51735e+19 1.42631e+21
44   0.715672 1.50138e+19 1.42631e+21
45    0.69946 1.48574e+19 1.42631e+21
46   0.696754 1.0597e+19 1.02791e+21
47   0.692306 1.04889e+19 1.02791e+21
48   0.679338 1.03831e+19 1.02791e+21
49   0.668719 1.02791e+19 1.02791e+21
50   0.658755 1.01773e+19 1.02791e+21
51   0.658754 1.00776e+19 1.02791e+21
52   0.654644 9.9797e+18 1.02791e+21
53   0.646995 9.88375e+18 1.02791e+21
54   0.640723 9.78963e+18 1.02791e+21
55   0.632277 9.69727e+18 1.02791e+21
56   0.631526 1.05096e+19 1.12451e+21
57   0.622788 1.04123e+19 1.12451e+21
58   0.611031 6.18151e+18 6.73776e+20
59    0.60286 6.12531e+18 6.73776e+20
60    0.60025 6.07013e+18 6.73776e+20
61   0.582317 6.01586e+18 6.73776e+20
62   0.579494 4.12377e+16 4.65973e+18
63   0.567353 4.86808e+18 5.54961e+20
64   0.557382 4.78259e+16 5.49998e+18
65   0.552955 1.70959e+14 1.98312e+16
66   0.552955 1.69419e+14 1.9822e+16
67   0.551454 1.67405e+14 1.97538e+16
68   0.551315 1.65859e+14 1.97372e+16
69   0.547646 1.64476e+14 1.97371e+16
70   0.546611 3.92406e+13 4.74811e+15
71   0.546591  3.933e+13 4.79826e+15
72   0.546584 5.96444e+11 7.33621e+13
73   0.545907 6.59797e+11 8.18148e+13
74   0.544466 6.03442e+11 7.54301e+13
75   0.544164 8.37323e+11 1.05502e+14
76    0.54338 1.51982e+12 1.93016e+14
77   0.535269 1.90657e+12 2.4404e+14
78   0.535144 1.89349e+12 2.44258e+14
79   0.533674 7.28061e+13 9.46479e+15
80   0.532602 7.2473e+13 9.49396e+15
81    0.52986 3.01043e+16 3.97377e+18
82   0.528864 2.98308e+16 3.9675e+18
83   0.528853 2.96082e+16 3.96749e+18
84   0.526487 5.17503e+19 6.9863e+21
85   0.524144 1.27212e+17 1.73009e+19
86   0.524144 1.26331e+17 1.73073e+19
87   0.524144 1.25416e+17 1.73073e+19
88   0.512977 8.09409e+16 1.12508e+19
89   0.512977 8.03505e+16 1.12491e+19
90   0.512712 7.99878e+16 1.12783e+19
91   0.509362 7.93645e+16 1.12698e+19
92   0.508721 1.17736e+18 1.68363e+20
93   0.508465 1.16949e+18 1.68407e+20
94   0.506152 7.79122e+16 1.12973e+19
95   0.505086 7.73785e+16 1.12973e+19
96   0.504816 7.68362e+16 1.12949e+19
97   0.488698 7.63163e+16 1.12948e+19
98   0.488378 7.58035e+16 1.12947e+19
99   0.485875 7.52982e+16 1.12947e+19
100   0.485636 3.34903e+18 5.05704e+20
101   0.470172 3.17681e+19 4.82875e+21
102   0.470172 2.98099e+19 4.56091e+21
103   0.470172 2.96166e+19 4.56095e+21
104   0.469818 2.94255e+19 4.56095e+21
105   0.468445 2.92371e+19 4.56098e+21
106   0.468195 2.76404e+19 4.33954e+21
107   0.452859 2.74634e+19 4.33922e+21
108   0.452769 2.72907e+19 4.33922e+21
109    0.44967 2.71312e+19 4.34099e+21
