./tp1 datasets/house-train.csv datasets/house-test.csv
Ind. max size:   3
Init. pop. size: 10
Max. pop. size:  15
Tournament size: 2
Max. num. gen.:  300
Crossover rate:  0.6
Mutation rate:   0.4
Min Fitness:  	 Mean Fitness: 	 Max Fitness:  
0     647638     730842 1.51017e+06
1     640239     723909 1.5227e+06
2     637820 1.09242e+06 6.39368e+06
3     632937     862612 3.61984e+06
4     629563     649707     664195
5     629098     648947     659787
6     625745     647903     655510
7     621941     646713     654662
8     617708     646244     654586
9     614560     645174     654654
10     608767     645331     678034
11     603674     642053     654983
12     594066     639211     656021
13     583790     659693     957355
14     568562     641325     762790
15     560182     689575 1.50039e+06
16     555008     982362 5.60071e+06
17     553728 1.74734e+06 1.61711e+07
18     538593     630507     713744
19     537963 1.05405e+06 6.6654e+06
20     521215     779321 2.7931e+06
21     511851     626025     718399
22     501733     619245     698823
23     500032     640299 1.01359e+06
24     489707     625233     861774
25     485667     614392     730656
26     478235     696946 1.85643e+06
27     471400     608521     661746
28     468747     616692     811974
29     467347     609287     684044
30     467069     613757     725076
31     466301 1.30239e+06 1.03924e+07
32     463947     807691 3.46435e+06
33     460589     607248     691992
34     455417     746201 2.63951e+06
35     454085     601073     687806
36     449387     600957     667919
37     448919     604808     684327
38     448919     599804     656556
39     448757     597312     669118
40     448011     997514 6.29134e+06
41     441028     614305     927959
42     440544     677713 1.7695e+06
43     440449     599424     661880
44     436205     605134     742653
45     430586     596297     704563
46     430533     598386     744512
47     429592     919684 3.04382e+06
48     428853 1.40483e+06 1.1932e+07
49     428838 1.76276e+06 1.70012e+07
50     427953     832091 3.97445e+06
51     427289     720395 2.44597e+06
52     427157     764124 3.04141e+06
53     426838     905675 2.72499e+06
54     417483     805533 2.3069e+06
55     416024     750203 2.51833e+06
56     415577 1.39078e+06 9.20541e+06
57     414775 1.23152e+06 9.19703e+06
58     412640 1.15193e+06 8.25263e+06
59     412640     639078 1.09556e+06
60     411488 1.32651e+06 1.05609e+07
61     405356 1.05161e+06 6.81181e+06
62     405355     610711     980985
63     405156     607682     970511
64     404808     649346 1.62761e+06
65     404524     637440 1.42084e+06
66     403710     578493     716383
67     399218     670739 1.87681e+06
68     397457 6.29657e+07 8.73936e+08
69     396304     590639     805952
70     390364     958450 6.06164e+06
71     389501 1.82701e+06 1.81651e+07
72     387647     592127     837155
73     386405     651904 1.39363e+06
74     381579 2.56676e+06 2.85768e+07
75     380586 1.94034e+06 1.9845e+07
76     378213     575042     777271
