Ind. max size:   4
Init. pop. size: 50
Max. pop. size:  200
Tournament size: 2
Max. num. gen.:  300
Crossover rate:  0.95
Mutation rate:   0.05
Min Fitness:  	 Mean Fitness: 	 Max Fitness:  
0    1.12922    665.076    27045.5
1    0.94575    5012.21     250228
2   0.932303     256197 1.35689e+07
3   0.927667     315732 1.7005e+07
4   0.926803     478505 2.62604e+07
5   0.926363     408807 2.28471e+07
6   0.926147     143940 8.1234e+06
7   0.926147     146707 7.70912e+06
8   0.921495     416133 2.32903e+07
9   0.905664     545137 3.15504e+07
10   0.904238     623699 3.45497e+07
11   0.903844     432030 2.33427e+07
12   0.882845     331717 1.74593e+07
13   0.847853     331686 1.77942e+07
14   0.844998     248430 1.58475e+07
15   0.844991     257405 1.5796e+07
16   0.844991     239286 1.57581e+07
17   0.844991 2.76583e+07 1.88068e+09
18   0.844991 3.68081e+07 2.5397e+09
19    0.84017 7.22634e+07 5.05834e+09
20    0.84017  7.119e+07 5.05403e+09
21    0.84017 7.8751e+07 5.66989e+09
22    0.84017 9.80648e+09 7.15873e+11
23   0.838357 2.63346e+11 1.94876e+13
24   0.838357 2.59834e+11 1.94876e+13
25   0.838357 2.56502e+11 1.94942e+13
26   0.838357 2.47859e+11 1.90851e+13
27    0.82587 5.27254e+12 4.11258e+14
28    0.82587 5.2058e+12 4.11258e+14
29   0.823925 5.14071e+12 4.11257e+14
30   0.817974 5.07725e+12 4.11257e+14
31   0.798121 5.0183e+12 4.11501e+14
32   0.798121 2.89916e+14 2.4063e+16
33   0.798121 2.86465e+14 2.4063e+16
34   0.798121 4.60354e+14 3.91301e+16
35    0.79774 9.73565e+13 8.37266e+15
36    0.79774 9.63755e+13 8.38467e+15
37   0.795347 9.19819e+15 8.0944e+17
38   0.795347 4.23523e+15 3.76935e+17
39   0.793615 4.18817e+15 3.76935e+17
40   0.793615 4.14225e+15 3.76945e+17
41   0.793593 4.09722e+15 3.76945e+17
42    0.79305 5.35757e+16 4.98254e+18
43   0.756914 5.30057e+16 4.98254e+18
44   0.756104 5.24477e+16 4.98254e+18
45   0.750974 5.19014e+16 4.98254e+18
46    0.74964 5.06661e+11 4.9146e+13
47   0.748392 5.0149e+11 4.9146e+13
48   0.747508 4.96424e+11 4.9146e+13
49   0.743318 8.58541e+11 8.58541e+13
50   0.743318 8.50041e+11 8.58541e+13
51   0.742578 1.11809e+10 1.14045e+12
52   0.727762 2.35076e+08 2.42086e+10
53   0.723559 7.14297e+07 7.41704e+09
54    0.69225 1.01386e+10 1.06454e+12
55   0.686877 9.99589e+09 1.05956e+12
56   0.686877 9.90326e+09 1.05965e+12
57   0.686877 9.81748e+09 1.06029e+12
58   0.686877 1.60813e+10 1.75286e+12
59   0.686877 1.60326e+10 1.76358e+12
60   0.686877 1.57783e+10 1.75138e+12
61   0.686877 1.6162e+10 1.81014e+12
62   0.685823 1.60189e+10 1.81014e+12
63   0.685823 1.58732e+10 1.80954e+12
64   0.680062 5.52613e+09 6.35504e+11
65    0.66643 4.54675e+07 5.27039e+09
66   0.665491 4.60565e+07 5.38263e+09
67   0.628471 8.20114e+07 9.55784e+09
68   0.625017 1.85699e+09 2.20725e+11
69   0.618198 1.84263e+09 2.20901e+11
70   0.617965 5.52276e+10 6.64724e+12
71   0.582454 5.45068e+10 6.64717e+12
72    0.58244 5.06542e+10 6.22832e+12
73   0.524047 5.16873e+10 6.23634e+12
74   0.524047 5.01652e+10 6.23634e+12
75   0.524047 4.95309e+10 6.23848e+12
76   0.520667 1.59933e+09 2.02298e+11
77   0.509761 1.56139e+09 1.99045e+11
78   0.509761 3.86735e+10 4.98569e+12
79   0.505592 3.87127e+10 4.99016e+12
80   0.505592 4.48857e+10 4.80738e+12
81   0.505592 3.76481e+10 4.80835e+12
82   0.505592 1.63323e+13 2.16741e+15
83   0.498117 3.79881e+14 4.87397e+16
84   0.498117 2.77315e+14 3.74375e+16
85   0.497995 2.73114e+14 3.71436e+16
86   0.497995 2.72893e+14 3.73863e+16
87   0.497995 2.72989e+14 3.76725e+16
88   0.497995 2.71025e+14 3.76725e+16
89   0.497995 2.69089e+14 3.76725e+16
90   0.497995 2.67181e+14 3.76725e+16
91   0.497995 2.65299e+14 3.76725e+16
92   0.497995 2.63444e+14 3.76725e+16
93   0.497995 2.61614e+14 3.76725e+16
94   0.496329 2.59668e+14 3.76519e+16
95   0.494175 8.18728e+13 1.19534e+16
96   0.491295 8.13168e+13 1.19536e+16
97   0.491295 4.57345e+20 6.7687e+22
98   0.483589 1.02116e+16 1.52152e+18
99   0.483589 1.01435e+16 1.52152e+18
100   0.481562 1.00881e+16 1.52152e+18
101   0.481562 1.86759e+15 2.82092e+17
102   0.481562 1.84909e+15 2.82757e+17
103   0.481562 1.82909e+15 2.81481e+17
104   0.480915 1.2141e+18 1.88185e+20
105   0.480257 1.20651e+18 1.88185e+20
106    0.47314 1.19889e+18 1.88196e+20
107    0.47314 1.19137e+18 1.88196e+20
108    0.47314 5.55961e+17 8.83576e+19
109    0.47314 5.52238e+17 8.83576e+19
110    0.47314 5.48805e+17 8.83576e+19
111    0.47314 5.45361e+17 8.83485e+19
112    0.47314 5.29798e+17 8.63571e+19
113    0.47314 5.26568e+17 8.63571e+19
114    0.47314 5.23341e+17 8.63512e+19
115    0.47314 5.20188e+17 8.63512e+19
116   0.472292 5.17072e+17 8.63511e+19
117   0.469507 5.13995e+17 8.63511e+19
118   0.467174 3.33712e+17 5.63974e+19
119   0.467174 3.31749e+17 5.63974e+19
120   0.467174 3.29813e+17 5.6398e+19
121    0.46601 3.91711e+17 6.73742e+19
122    0.46601 3.89446e+17 6.73742e+19
123    0.46601 6.59388e+19 1.14734e+22
124    0.46601 6.5562e+19 1.14734e+22
125   0.464626 2.46556e+20 4.33938e+22
126   0.460046 2.45163e+20 4.33938e+22
127   0.455131 2.43785e+20 4.33938e+22
128   0.455131 2.42423e+20 4.33938e+22
129   0.427999 2.40223e+20 4.32402e+22
130   0.427999 1.18085e+20 2.13734e+22
131   0.415385 1.17436e+20 2.13734e+22
132   0.415385 7.08855e+19 1.2972e+22
133   0.415385 1.30713e+21 2.40512e+23
134   0.403823 1.30006e+21 2.40512e+23
135   0.403823 1.29307e+21 2.40512e+23
136   0.403616 1.18911e+21 2.22364e+23
137   0.403616 1.18279e+21 2.22364e+23
138   0.403616 1.17653e+21 2.22364e+23
139   0.403616 1.17034e+21 2.22364e+23
140   0.403616 1.16421e+21 2.22364e+23
141   0.403616 1.15585e+21 2.21922e+23
142   0.403616 2.10691e+16 4.06632e+18
143   0.403616 7.4389e+13 1.44312e+16
144   0.402788 3.74726e+14 7.30716e+16
145   0.402788 3.72814e+14 7.30716e+16
146   0.402788 3.7116e+14 7.31185e+16
147   0.402788 1.43008e+18 2.83156e+20
148   0.390985 1.42325e+18 2.83227e+20
149   0.390985 2.06923e+08 4.1057e+10
150   0.356059     735866 1.44966e+08
151   0.356059      16012 2.77774e+06
152   0.356059    2439.89     209214
153   0.354929    4411.94     385759
154   0.354929    50283.3 9.63717e+06
155   0.354929    4151.29     624501
156   0.354929    2415.83     274298
157   0.354929    1895.02     234434
158   0.354909    1168.07     138205
159   0.354909    622.218    56135.5
160   0.354909     1148.8     151179
161   0.354909    652.115    62454.2
162   0.354909    636.168    68776.5
163   0.354909    1115.98     126684
164   0.354909    555.569    51265.3
165   0.347541    971.144    50648.5
166   0.346213    950.461    95998.7
167   0.346213    809.339    91984.4
168   0.346213    780.895    91715.3
169   0.346213    650.546    81558.9
170   0.346213    1477.52     214483
171   0.346213    2802.97     398130
172    0.34195    883.204    76532.4
173    0.34195    487.259    52918.4
174    0.34195    471.998      46188
175    0.34195    373.405    33402.2
176   0.321173    412.236    29720.3
177   0.321173    222.804    14060.3
178   0.321173    201.283    14112.4
179   0.321173    243.339    20890.2
180   0.321173    326.697    37098.2
181   0.321173    341.453    37145.4
182   0.321173    412.584    51297.7
183   0.321173    207.884      15452
184   0.321173     178.96    11779.7
185   0.321173    564.361    76149.8
186   0.321173    409.159    55825.3
187   0.321173    393.948    43226.2
188   0.319682     248.86    16902.5
189   0.319682    688.301     115387
190   0.319682    240.224    21806.4
191   0.319682    364.042      25013
192   0.319682    183.405    11873.4
193    0.31819    239.532    22864.4
194    0.31819    240.202    16039.5
195   0.317538    876.979     122700
196   0.309409    323.566    31186.4
197   0.309409    286.518    33867.9
198   0.309409    167.361    13446.8
199   0.309409    161.285    12143.5
200   0.309331     244.55    25218.1
201   0.309331    219.138    24492.7
202   0.309331    511.238    72205.7
203   0.301883     301.51    37931.2
204   0.301883    136.393      11410
205   0.301883    363.053    39321.7
206   0.301883    224.116    30043.9
207   0.299068    141.452    14684.4
208   0.298994    341.878    54739.1
209   0.286766    189.991    25893.2
210   0.286766    113.205    9951.82
211    0.28574    426.567      73354
212    0.28574    140.946    13282.8
213    0.28574    150.703    12742.9
214    0.28574    189.958    14911.4
215   0.284859    132.673    8645.02
216   0.253782    125.687    9111.65
217   0.253782    178.977    15761.6
218   0.253782    111.885    9282.33
219   0.253782    191.076      21941
220   0.253778    127.261    8016.31
221   0.253778    110.987    7362.66
222   0.253778     149.99    14775.4
223   0.253778    121.306    12068.8
224   0.253778    94.0994    5711.18
225    0.25376    207.275    29215.3
226   0.253706    187.383    20062.1
227   0.253706    280.655      35276
228   0.250456    139.138    9866.12
229   0.250456    96.1758    7894.28
230    0.25036     122.89    8734.66
231    0.25036    227.434    29069.2
232    0.25036     199.08    16122.9
233   0.235838    254.571    35260.5
234   0.235838     106.96    7467.33
235   0.235838    87.2226    5431.34
236   0.235838    91.8953    5830.18
237   0.235838    83.6965    4198.49
238   0.233838     184.74    14895.8
239   0.233186    602.288    49486.3
240   0.233186     124.86    10428.7
241   0.232517    144.159    10133.5
242   0.232517    103.517    6978.49
243   0.232517    120.397    8698.68
244   0.232517    473.723    64624.4
245   0.232517    98.4439    5370.88
246   0.232517    188.573    22129.3
247   0.232517    364.078    53793.7
248   0.232517    151.018    14413.9
249   0.232517    168.903    20429.4
250   0.232517    106.819    8521.82
251   0.232513    83.3278    5779.44
252   0.221135    78.1945    4535.62
253   0.221135    82.8072    4995.27
254   0.221135    61.4862    3027.27
255   0.221135    81.0668    6387.46
256   0.221135    95.6248    10170.3
257   0.221093    115.259    11629.7
258   0.221093    72.0773    4490.49
259   0.221093    60.0009    3173.13
260   0.217699    98.2813    6949.07
261   0.217699    75.2261    5150.46
262   0.212355     120.77      11147
263   0.212355    130.645    11524.9
264   0.212355    117.402    11163.3
265   0.212355    127.515    15341.6
266   0.212355    141.142    17230.3
267   0.212355    77.9378    4511.23
268   0.212336    84.9296    6021.42
269   0.212336    105.377    10069.6
270   0.212336    288.136    42881.1
271   0.212336    97.6433    7151.28
272   0.212336    65.2652    3807.17
273   0.212336    79.1787    5296.93
274   0.212336    58.9988    2470.48
275   0.211125    485.336    86915.4
276   0.211125     180.89    18675.2
277   0.211125    146.097    15078.1
278   0.211125    87.1944    4907.62
279   0.211125    88.5021     7006.7
280   0.211125     94.624    5528.19
281   0.211125    135.512    9074.13
282   0.191236    125.172    12182.3
283   0.191236    130.308    13005.4
284   0.191236    66.3422    3770.23
285   0.191236    51.1745    2640.55
286   0.191236    66.0529    4872.46
287   0.186884    46.7094    2265.39
288   0.186884    82.0493     9233.7
289   0.186884    86.8919    6550.87
290   0.186821    216.994    28581.1
291   0.179976     322.74    43383.8
292   0.179976    81.7981    5783.41
293   0.179962    109.314    7553.82
294   0.179962    73.4166    3689.38
295   0.179962    74.3197    4818.43
296   0.179158    104.266    11287.7
297   0.179158    113.205    9343.18
298   0.177828    83.5869    6342.17
299   0.177828    110.783    9634.27
